"id";"disease";"Serotype";"Region";"Subregion";"country";"region";"city";"lat";"lng";"Diagnosis.source";"Diagnosis.status";"Animal.type";"host";"ObservationDate";"ReportDate";"Humans.affected";"Human.deaths"
245153;"Influenza - Avian";"H5N8 HPAI";"Asia";"Southern Asia";"Iran";"Mazandaran";"Nor";36.4979;52.1864;"OIE";"Confirmed";"Domestic";"Chicken";"25/12/2018";05/01/19;;
245234;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Dongshi";23.698137;120.237203;"OIE";"Confirmed";"Domestic";"Duck";"25/12/2018";11/01/19;;
244579;"Influenza - Avian";"H5 LPAI";"Europe";"Western Europe";"Netherlands";"Drenthe";"Veeningen";52.908745;6.696514;"National authorities";"Confirmed";"Captive";"Swan";"24/12/2018";"24/12/2018";;
245152;"Influenza - Avian";"H5N8 HPAI";"Asia";"Southern Asia";"Iran";"Mazandaran";"Bala";36.60364;52.74197;"OIE";"Confirmed";"Domestic";"Duck";"24/12/2018";05/01/19;;
245337;"Influenza - Avian";"H5N6 HPAI";"Europe";"Northern Europe";"Denmark";"Storstrøm";;55.2316;11.8316;"OIE";"Confirmed";"Wild";"White Tailed Eagle (Haliaeetus Albicilla)";"22/12/2018";"15/01/2019";;
244804;"Influenza - Avian";"H5N1 HPAI";"Asia";"South-Eastern Asia";"Viet Nam";"Dak Lak";"Tan Tien";12.6419;108.3358;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"21/12/2018";"27/12/2018";;
244786;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Zhongpu";23.40009;120.50564;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"18/12/2018";"25/12/2018";;
244809;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Puri";19.485;85.17305;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"18/12/2018";"28/12/2018";;
244981;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Cuttack";20.454265;85.879212;"OIE";"Confirmed";"Wild";"Crow";"18/12/2018";07/01/19;;
244155;"Influenza - Avian";"H5 HPAI";"Europe";"Eastern Europe";"Bulgaria";"Vidin";"Kosovo";44.0969;22.6353;"National authorities";"Confirmed";"Domestic";"Chicken";"17/12/2018";"17/12/2018";;
244155;"Influenza - Avian";"H5 HPAI";"Europe";"Eastern Europe";"Bulgaria";"Vidin";"Kosovo";44.0969;22.6353;"National authorities";"Confirmed";"Domestic";"Pigeon";"17/12/2018";"17/12/2018";;
244155;"Influenza - Avian";"H5 HPAI";"Europe";"Eastern Europe";"Bulgaria";"Vidin";"Kosovo";44.0969;22.6353;"National authorities";"Confirmed";"Domestic";"Common Pheasant (Phasianus Colchicus)";"17/12/2018";"17/12/2018";;
244785;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Pingzhen";24.9038;121.1943;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"17/12/2018";"25/12/2018";;
244961;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Nuagaon";19.539743;85.232267;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"17/12/2018";04/01/19;;
244962;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Naba";19.547775;85.267157;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"17/12/2018";04/01/19;;
244980;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Nayagarh";20.1153;85.0725;"OIE";"Confirmed";"Wild";"Crow";"16/12/2018";07/01/19;;
244978;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Bihar";"Jaunpur";25.3652;86.4922;"OIE";"Confirmed";"Wild";"Crow";"15/12/2018";07/01/19;;
244979;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Bihar";"Patna";25.59945;85.09889;"OIE";"Confirmed";"Wild";"Phasianidae (Phasianidae)";"15/12/2018";07/01/19;;
251549;"Influenza - Avian";"H5 HPAI";"Asia";"Southern Asia";"Bangladesh";"Khulna";"Noapara";23.028841;89.399236;"OIE";"Confirmed";"Wild";"Crow";"15/12/2018";"17/04/2019";;
244667;"Influenza - Avian";"H5N1 HPAI";"Asia";"South-Eastern Asia";"Indonesia";"Jawa Barat";"Kedungbunder";-6.697366;108.39697;"National authorities";"Confirmed";"Domestic";"Chicken";"13/12/2018";"13/12/2018";;
244553;"Influenza - Avian";"H5N6 HPAI";"Asia";"South-Eastern Asia";"Viet Nam";"Quang Ninh";;21.3228;107.5137;"National authorities";"Confirmed";"Domestic";"Unspecified Bird";10/12/18;"21/12/2018";;
244807;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Banapur";19.57919;85.27755;"OIE";"Confirmed";"Domestic";"Unspecified Bird";10/12/18;"28/12/2018";;
244808;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";;19.62541;85.25196;"OIE";"Confirmed";"Domestic";"Unspecified Bird";10/12/18;"28/12/2018";;
243942;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Puri";19.56816;85.241236;"OIE";"Confirmed";"Domestic";"Unspecified Bird";07/12/18;"14/12/2018";;
244551;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Alanda";19.6275;85.30194444;"OIE";"Confirmed";"Wild";"House Crow (Corvus Splendens)";07/12/18;"15/12/2018";;
244805;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Puri";19.49888;85.193611;"OIE";"Confirmed";"Domestic";"Unspecified Bird";07/12/18;"28/12/2018";;
244806;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Orissa";"Malud";19.555775;85.247881;"OIE";"Confirmed";"Domestic";"Unspecified Bird";07/12/18;"28/12/2018";;
247390;"Influenza - Avian";"H5N8 HPAI";"Africa";"Southern Africa";"South Africa";"Western Cape";;-33.5;21.6;"OIE";"Confirmed";"Domestic";"Ostrich";07/12/18;"18/02/2019";;
245687;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Lukang";24.113833;120.449778;"OIE";"Confirmed";"Domestic";"Chicken";06/12/18;"21/01/2019";;
244666;"Influenza - Avian";"H5N1 HPAI";"Asia";"South-Eastern Asia";"Indonesia";"Kalimantan Barat";"Sungai Ringin";-0.016677;110.801545;"National authorities";"Confirmed";"Domestic";"Chicken";02/12/18;02/12/18;;
244665;"Influenza - Avian";"H5N1 HPAI";"Asia";"South-Eastern Asia";"Indonesia";"Jawa Barat";"Kamarung";-6.4555;107.814651;"National authorities";"Confirmed";"Domestic";"Chicken";"30/11/2018";"30/11/2018";;
244664;"Influenza - Avian";"H5N1 HPAI";"Asia";"South-Eastern Asia";"Indonesia";"Jawa Tengah";"Tandang";-7.020862;110.444689;"National authorities";"Confirmed";"Domestic";"Chicken";"28/11/2018";"28/11/2018";;
244064;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Dongshi";23.694838;120.246618;"OIE";"Confirmed";"Domestic";"Duck";"26/11/2018";"17/12/2018";;
244709;"Influenza - Avian";"H5N8 HPAI";"Europe";"Eastern Europe";"Bulgaria";"Jambol";"Pravdino";42.4161;26.9308;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"22/11/2018";"23/12/2018";;
243495;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Yuanchang";23.663665;120.323365;"OIE";"Confirmed";"Domestic";"Goose";"21/11/2018";04/12/18;;
244063;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Dongshi";23.695853;120.245367;"OIE";"Confirmed";"Domestic";"Duck";"21/11/2018";"17/12/2018";;
245811;"Influenza - Avian";"H5N8 HPAI";"Africa";"Southern Africa";"South Africa";"Western Cape";;-34.2;18.4;"OIE";"Confirmed";"Domestic";"Ostrich";"20/11/2018";"28/01/2019";;
243803;"Influenza - Avian";"H5N8 HPAI";"Asia";"Southern Asia";"Iran";"East Azarbayejan";;38.50463;47.05185;"OIE";"Confirmed";"Domestic";"Turkey";"19/11/2018";11/12/18;;
245810;"Influenza - Avian";"H5N8 HPAI";"Africa";"Southern Africa";"South Africa";"Western Cape";;-34.2;20.7;"OIE";"Confirmed";"Domestic";"Ostrich";"19/11/2018";"28/01/2019";;
243802;"Influenza - Avian";"H5N8 HPAI";"Asia";"Southern Asia";"Iran";"East Azarbayejan";"Bahman";38.474767;47.072252;"OIE";"Confirmed";"Domestic";"Turkey";"18/11/2018";11/12/18;;
242706;"Influenza - Avian";"H5N8 HPAI";"Europe";"Eastern Europe";"Bulgaria";"Plovdiv";"Choba";42.31451;25.09186;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"15/11/2018";"17/11/2018";;
243494;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Taixi";23.719285;120.235539;"OIE";"Confirmed";"Domestic";"Duck";"15/11/2018";04/12/18;;
243801;"Influenza - Avian";"H5N8 HPAI";"Asia";"Southern Asia";"Iran";"East Azarbayejan";;38.48559;47.09883;"OIE";"Confirmed";"Domestic";"Turkey";"15/11/2018";11/12/18;;
244811;"Influenza - Avian";"H5N1 HPAI";"Asia";"Southern Asia";"India";"Bihar";;25.191151;86.62709;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"15/11/2018";"28/12/2018";;
243094;"Influenza - Avian";"H5N2 LPAI";"Americas";"Northern America";"United States of America";"Minnesota";"Kandiyohi";45.114;-95.036;"OIE";"Confirmed";"Domestic";"Turkey";"13/11/2018";"28/11/2018";;
242696;"Influenza - Avian";"H5N2 LPAI";"Americas";"Northern America";"United States of America";"Minnesota";"Kandiyohi";45.11;-95.041;"OIE";"Confirmed";"Domestic";"Turkey";12/11/18;"15/11/2018";;
242886;"Influenza - Avian";"H5N6 HPAI";"Asia";"Eastern Asia";"China";"Jiangsu Sheng";"Huinan";32.523;119.799;"OIE";"Confirmed";"Domestic";"Unspecified Bird";10/11/18;"22/11/2018";;
