,text,GID,geonamesId
0,South Korea,GD1316637,1835841
1,North Jeolla,GD5322793,1845789
2,North Jeolla,GD5322793,1845789
3,Buan,GD7082045,1838721
4,North Jeolla,GD5322793,1845789
5,Seoul,GD3789919,1835847
6,Seoul,GD3789919,1835847
7,Buan,GD7082045,1838721
8,North Jeolla,GD5322793,1845789
9,Gwangju,GD4990908,1841811
10,Gwangju,GD4990908,1841811
11,Gwangju,GD4990908,1841811
12,South Jeolla,GD5277641,1845788
13,South Korea,GD1316637,1835841
14,South Jeolla,GD5277641,1845788
15,South Korea,GD1316637,1835841
16,South Korea,GD1316637,1835841
17,South Korea,GD1316637,1835841
