"id";"disease";"Serotype";"Region";"Subregion";"country";"region";"city";"lat";"lng";"Diagnosis.source";"Diagnosis.status";"Animal.type";"host";"ObservationDate";"ReportDate";"Humans.affected";"Human.deaths"
310315;"Influenza - Avian";"H5N1 HPAI";"Europe";"Eastern Europe";"Poland";"Wielkopolskie";"Giżyce";51.526431;18.1648;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"31/12/2021";05/01/22;;
310317;"Influenza - Avian";"H5N1 HPAI";"Europe";"Eastern Europe";"Poland";"Zachodniopomorskie";"Mostowo";54.074105;16.396351;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";05/01/22;;
310320;"Influenza - Avian";"H5N1 HPAI";"Europe";"Eastern Europe";"Hungary";"Bacs-kiskun";"Szank";46.558666;19.708382;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"31/12/2021";05/01/22;;
310342;"Influenza - Avian";"H5N1 HPAI";"Europe";"Eastern Europe";"Hungary";"Csongrad";"Kistelek";46.4804;19.9678;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"31/12/2021";05/01/22;;
310439;"Influenza - Avian";"H5N1 HPAI";"Africa";"Western Africa";"Niger";"Niamey";"Niamey";13.4985;2.0588;"OIE";"Confirmed";"Domestic";"Chicken";"31/12/2021";04/01/22;;
310582;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"Denmark";"Storstrøm";"Stokkemarke";54.874;11.397;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"31/12/2021";05/01/22;;
310658;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Alford";53.33;0.15;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"31/12/2021";07/01/22;;
310961;"Influenza - Avian";"H5N1 HPAI";"Europe";"Southern Europe";"Slovenia";"Podravska";"Sestrže";46.3579;15.681;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";11/01/22;;
310970;"Influenza - Avian";"H5N1 HPAI";"Europe";"Western Europe";"Austria";"Wien";"Wien";48.2377;16.4242;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";11/01/22;;
311034;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Dacheng";23.86303;120.29928;"OIE";"Confirmed";"Domestic";"Chicken";"31/12/2021";"13/01/2022";;
311036;"Influenza - Avian";"H5N2 HPAI";"Asia";"Eastern Asia";"Taiwan";"Taiwan Sheng";"Fangyuan";23.987519;120.398715;"OIE";"Confirmed";"Domestic";"Chicken";"31/12/2021";"13/01/2022";;
311128;"Influenza - Avian";"H5N1 HPAI";"Americas";"Northern America";"Canada";"Newfoundland and Labrador / Terre-Neuve-et-Labrador";"Avalon Peninsula";47.5473;-52.7808;"OIE";"Confirmed";"Domestic";"Unspecified Bird";"31/12/2021";"13/01/2022";;
311452;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Ashington";55.19;-1.55;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";"14/01/2022";;
311454;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Killingworth";55.03;-1.56;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";"14/01/2022";;
311456;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Otley";53.89;-1.72;"OIE";"Confirmed";"Wild";"Buzzard";"31/12/2021";"14/01/2022";;
311458;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Great Staughton";52.24;-0.34;"OIE";"Confirmed";"Wild";"Buzzard";"31/12/2021";"14/01/2022";;
311466;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Tickton";53.88;-0.39;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";"14/01/2022";;
311470;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Birkenhead";53.39;-3.03;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";"14/01/2022";;
311470;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Birkenhead";53.39;-3.03;"OIE";"Confirmed";"Wild";"Canada Goose:branta Canadensis(Anatidae)";"31/12/2021";"14/01/2022";;
311474;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Nantwich";53.05;-2.52;"OIE";"Confirmed";"Wild";"Canada Goose:branta Canadensis(Anatidae)";"31/12/2021";"14/01/2022";;
311477;"Influenza - Avian";"H5N1 HPAI";"Europe";"Northern Europe";"United Kingdom";"England";"Winsford";53.18;-2.51;"OIE";"Confirmed";"Wild";"Mute Swan:cygnus Olor(Anatidae)";"31/12/2021";"14/01/2022";;
