"id";"name";"task_id";"name_en";"name_fr";"public";"default"
"1";"Relevant";"1";"Relevant";"Pertinent";"1";"1"
"2";"Irrelevant";"1";"Irrelevant";"Non pertinent";"1";"0"
"6";"Outbreak declaration";"3";"Outbreak declaration";"Déclaration de foyer";"1";"0"
"7";"Consequences";"3";"Consequences";"Bilan";"1";"0"
"8";"Alert, prepardness";"3";"Alert, prepardness";"Etat d'alerte, préparation";"1";"0"
"9";"General information";"3";"General information";"Informations générales";"1";"0"
"10";"Other";"3";"Other";"Autre";"1";"0"
"11";"Current event";"4";"Current event";"Evénement actuel";"1";"0"
"12";"Descriptive epidemiology";"5";"Descriptive epidemiology";"Epidémiologie descriptive";"1";"0"
"13";"Preventive and control measures";"5";"Preventive and control measures";"Mesures préventives et de contrôle";"1";"0"
"14";"Economic and political consequences";"5";"Economic and political consequences";"Conséquences économiques et politiques";"1";"0"
"15";"General";"4";"General";"Général";"1";"0"
"16";"General epidemiology";"5";"General epidemiology";"Epidémiologie générale";"1";"0"
"17";"Risk event";"4";"Risk event";"Événement à risque";"1";"0"
"18";"Concern and risk factors";"5";"Concern and risk factors";"Facteurs de risque et préoccupation";"1";"0"
"19";"Old event";"4";"Old event";"Ancien événement";"1";"0"
"20";"Irrelevant";"4";"Irrelevant";"Non-pertinent";"1";"0"
"21";"Irrelevant";"5";"Irrelevant";"Non-pertinent";"1";"0"
"22";"Transmission pathway";"5";"Transmission pathway";"Voie de transmission";"1";"0"
"23";"Distribution";"5";"Distribution";"Distribution";"1";"0"
"24";"Outbreak declaration";"6";"Outbreak declaration";"Déclaration de foyer";"1";"0"
"25";"Consequences";"6";"Consequences";"Bilan";"1";"0"
"26";"Alert, prepardness";"6";"Alert, prepardness";"Etat d'alerte, préparation";"1";"0"
"27";"General information";"6";"General information";"Informations générales";"1";"0"
"28";"Other";"6";"Other";"Autre";"1";"0"
