"";"id";"position";"token_index";"length";"type";"label";"value";"id_articleweb";"keyword_id";"keyword_type_id";"from_automatic_extraction";"geonames_id";"geonames_json";"a_classificationlabel_id"
115255;59647840;1413;"127";7;"ORG";"correct";"Twitter";"XJVHT538J5";"1706";"13";"1";"NULL";"NULL";"1 6 24"
115256;59647841;1388;"125";8;"ORG";"correct";"ERR News";"XJVHT538J5";"287147";"13";"1";"NULL";"NULL";"1 6 24"
115257;59647842;1363;"123";7;"keyword";"correct";"poultry";"XJVHT538J5";"13";"2";"1";"NULL";"NULL";"1 6 24"
115258;59647843;1343;"121";5;"host";"correct";"birds";"XJVHT538J5";"6394";"17";"1";"NULL";"NULL";"1 6 24"
115259;59647844;1343;"119";5;"keyword";"correct";"birds";"XJVHT538J5";"13";"2";"1";"NULL";"NULL";"1 6 24"
115260;59647845;1288;"117";4;"keyword";"correct";"case";"XJVHT538J5";"33";"4";"1";"NULL";"NULL";"1 6 24"
115261;59647846;1253;"115";6;"LOC";"correct";"Europe";"XJVHT538J5";"970";"16";"1";"6255148";"{""address"": ""Europe"", ""class_description"": ""parks,area, ..."", ""code"": ""CONT"", ""description"": ""continent"", ""feature_class"": ""L"", ""geonames_id"": 6255148, ""lat"": ""48.69096"", ""lng"": ""9.14062"", ""ok"": true, ""population"": 741000000, ""raw"": {""lng"": ""9.14062"", ""geonameId"": 6255148, ""name"": ""Europe"", ""fclName"": ""parks,area, ..."", ""toponymName"": ""Europe"", ""fcodeName"": ""continent"", ""adminName1"": """", ""lat"": ""48.69096"", ""fcl"": ""L"", ""fcode"": ""CONT"", ""population"": 741000000}, ""status"": ""OK""}";"1 6 24"
115262;59647847;1253;"113";6;"keyword";"correct";"Europe";"XJVHT538J5";"141";"5";"1";"12217848";"{""address"": ""Central Europe"", ""class_description"": ""parks,area, ..."", ""code"": ""RGN"", ""description"": ""region"", ""feature_class"": ""L"", ""geonames_id"": 12217848, ""lat"": ""50.28762"", ""lng"": ""15.1903"", ""ok"": true, ""population"": 166180000, ""raw"": {""lng"": ""15.1903"", ""geonameId"": 12217848, ""name"": ""Central Europe"", ""fclName"": ""parks,area, ..."", ""toponymName"": ""Central Europe"", ""fcodeName"": ""region"", ""adminName1"": """", ""lat"": ""50.28762"", ""fcl"": ""L"", ""fcode"": ""RGN"", ""population"": 166180000}, ""status"": ""OK""}";"1 6 24"
115263;59647848;1230;"111";9;"keyword";"correct";"infection";"XJVHT538J5";"38";"4";"0";"NULL";"NULL";"1 6 24"
115264;59647849;1177;"109";7;"outbreak-related-location";"correct";"Estonia";"XJVHT538J5";"156915";"69";"1";"453733";"{""address"": ""Estonia"", ""class_description"": ""country, state, region,..."", ""code"": ""PCLI"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""independent political entity"", ""feature_class"": ""A"", ""geonames_id"": 453733, ""lat"": ""59"", ""lng"": ""26"", ""ok"": true, ""population"": 1320884, ""raw"": {""adminCode1"": ""00"", ""lng"": ""26"", ""geonameId"": 453733, ""toponymName"": ""Republic of Estonia"", ""countryId"": ""453733"", ""fcl"": ""A"", ""population"": 1320884, ""countryCode"": ""EE"", ""name"": ""Estonia"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Estonia"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""59"", ""fcode"": ""PCLI""}, ""state_code"": ""00"", ""status"": ""OK""}";"1 6 24"
115265;59647850;1177;"107";7;"GPE";"correct";"Estonia";"XJVHT538J5";"14532";"16";"1";"453733";"{""address"": ""Estonia"", ""class_description"": ""country, state, region,..."", ""code"": ""PCLI"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""independent political entity"", ""feature_class"": ""A"", ""geonames_id"": 453733, ""lat"": ""59"", ""lng"": ""26"", ""ok"": true, ""population"": 1320884, ""raw"": {""adminCode1"": ""00"", ""lng"": ""26"", ""geonameId"": 453733, ""toponymName"": ""Republic of Estonia"", ""countryId"": ""453733"", ""fcl"": ""A"", ""population"": 1320884, ""countryCode"": ""EE"", ""name"": ""Estonia"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Estonia"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""59"", ""fcode"": ""PCLI""}, ""state_code"": ""00"", ""status"": ""OK""}";"1 6 24"
115266;59647851;1177;"105";7;"keyword";"correct";"Estonia";"XJVHT538J5";"312";"5";"1";"453733";"{""address"": ""Estonia"", ""class_description"": ""country, state, region,..."", ""code"": ""PCLI"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""independent political entity"", ""feature_class"": ""A"", ""geonames_id"": 453733, ""lat"": ""59"", ""lng"": ""26"", ""ok"": true, ""population"": 1320884, ""raw"": {""adminCode1"": ""00"", ""lng"": ""26"", ""geonameId"": 453733, ""toponymName"": ""Republic of Estonia"", ""countryId"": ""453733"", ""fcl"": ""A"", ""population"": 1320884, ""countryCode"": ""EE"", ""name"": ""Estonia"", ""fclName"": ""country, state, region,..."", ""countryName"": ""Estonia"", ""fcodeName"": ""independent political entity"", ""adminName1"": """", ""lat"": ""59"", ""fcode"": ""PCLI""}, ""state_code"": ""00"", ""status"": ""OK""}";"1 6 24"
115267;59647852;1177;"103";7;"keyword";"correct";"Estonia";"XJVHT538J5";"141";"5";"1";"12217848";"{""address"": ""Central Europe"", ""class_description"": ""parks,area, ..."", ""code"": ""RGN"", ""description"": ""region"", ""feature_class"": ""L"", ""geonames_id"": 12217848, ""lat"": ""50.28762"", ""lng"": ""15.1903"", ""ok"": true, ""population"": 166180000, ""raw"": {""lng"": ""15.1903"", ""geonameId"": 12217848, ""name"": ""Central Europe"", ""fclName"": ""parks,area, ..."", ""toponymName"": ""Central Europe"", ""fcodeName"": ""region"", ""adminName1"": """", ""lat"": ""50.28762"", ""fcl"": ""L"", ""fcode"": ""RGN"", ""population"": 166180000}, ""status"": ""OK""}";"1 6 24"
115268;59647853;1131;"101";5;"keyword";"correct";"virus";"XJVHT538J5";"41";"4";"1";"NULL";"NULL";"1 6 24"
115269;59647854;1084;"99";15;"disease";"correct";"avian influenza";"XJVHT538J5";"11117";"68";"1";"NULL";"NULL";"1 6 24"
115270;59647855;1084;"97";15;"keyword";"correct";"avian influenza";"XJVHT538J5";"2";"1";"1";"NULL";"NULL";"1 6 24"
115271;59647856;1075;"95";4;"keyword";"correct";"dead";"XJVHT538J5";"24";"3";"1";"NULL";"NULL";"1 6 24"
115272;59647857;1038;"93";3;"disease";"correct";"VTA";"XJVHT538J5";"440947";"68";"1";"NULL";"NULL";"1 6 24"
115273;59647858;1038;"91";3;"ORG";"correct";"VTA";"XJVHT538J5";"440948";"13";"1";"NULL";"NULL";"1 6 24"
115274;59647859;978;"89";5;"keyword";"correct";"virus";"XJVHT538J5";"41";"4";"1";"NULL";"NULL";"1 6 24"
115275;59647860;909;"87";5;"keyword";"correct";"virus";"XJVHT538J5";"41";"4";"1";"NULL";"NULL";"1 6 24"
115276;59647861;874;"85";9;"outbreak-related-date";"correct";"this year";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
115277;59647862;874;"83";9;"DATE";"correct";"this year";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
115278;59647863;841;"81";4;"DATE";"correct";"June";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
115279;59647864;820;"79";5;"host";"correct";"birds";"XJVHT538J5";"6394";"17";"1";"NULL";"NULL";"1 6 24"
115280;59647865;820;"77";5;"keyword";"correct";"birds";"XJVHT538J5";"13";"2";"1";"NULL";"NULL";"1 6 24"
115281;59647866;800;"75";5;"keyword";"correct";"death";"XJVHT538J5";"24";"3";"1";"NULL";"NULL";"1 6 24"
115282;59647867;790;"73";9;"disease";"correct";"avian flu";"XJVHT538J5";"6399";"68";"1";"NULL";"NULL";"1 6 24"
115283;59647868;761;"71";16;"DATE";"correct";"previous seasons";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
115284;59647869;687;"69";60;"ORG";"correct";"the European Center for Disease Prevention and Control (ECDC";"XJVHT538J5";"32117";"13";"1";"NULL";"NULL";"1 6 24"
115285;59647870;677;"67";4;"ORG";"correct";"EFSA";"XJVHT538J5";"7647";"13";"1";"NULL";"NULL";"1 6 24"
115286;59647871;641;"65";34;"ORG";"correct";"the European Food Safety Authority";"XJVHT538J5";"7648";"13";"1";"NULL";"NULL";"1 6 24"
115287;59647872;566;"63";9;"outbreak-related-date";"correct";"last week";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
115288;59647873;566;"61";9;"DATE";"correct";"last week";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
115289;59647874;548;"59";8;"outbreak-related-location";"correct";"Ida-Viru";"XJVHT538J5";"333039";"69";"1";"590031";"{""address"": ""Narva"", ""class_description"": ""city, village,..."", ""code"": ""PPLA2"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""seat of a second-order administrative division"", ""feature_class"": ""P"", ""geonames_id"": 590031, ""lat"": ""59.37722"", ""lng"": ""28.19028"", ""ok"": true, ""population"": 66980, ""raw"": {""adminCode1"": ""03"", ""lng"": ""28.19028"", ""geonameId"": 590031, ""toponymName"": ""Narva"", ""countryId"": ""453733"", ""fcl"": ""P"", ""population"": 66980, ""countryCode"": ""EE"", ""name"": ""Narva"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""45""}, ""countryName"": ""Estonia"", ""fcodeName"": ""seat of a second-order administrative division"", ""adminName1"": ""Ida-Virumaa"", ""lat"": ""59.37722"", ""fcode"": ""PPLA2""}, ""state"": ""Ida-Virumaa"", ""state_code"": ""03"", ""status"": ""OK""}";"1 6 24"
115290;59647875;548;"57";8;"ORG";"correct";"Ida-Viru";"XJVHT538J5";"333040";"13";"1";"NULL";"NULL";"1 6 24"
115291;59647876;524;"55";12;"outbreak-related-location";"correct";"Pärnu County";"XJVHT538J5";"366884";"69";"1";"589580";"{""address"": ""P\u00e4rnu"", ""class_description"": ""city, village,..."", ""code"": ""PPLA"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""seat of a first-order administrative division"", ""feature_class"": ""P"", ""geonames_id"": 589580, ""lat"": ""58.38588"", ""lng"": ""24.49711"", ""ok"": true, ""population"": 44192, ""raw"": {""adminCode1"": ""11"", ""lng"": ""24.49711"", ""geonameId"": 589580, ""toponymName"": ""P\u00e4rnu"", ""countryId"": ""453733"", ""fcl"": ""P"", ""population"": 44192, ""countryCode"": ""EE"", ""name"": ""P\u00e4rnu"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""68""}, ""countryName"": ""Estonia"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""P\u00e4rnumaa"", ""lat"": ""58.38588"", ""fcode"": ""PPLA""}, ""state"": ""P\u00e4rnumaa"", ""state_code"": ""11"", ""status"": ""OK""}";"1 6 24"
115292;59647877;524;"53";12;"GPE";"correct";"Pärnu County";"XJVHT538J5";"17565";"16";"1";"589580";"{""address"": ""P\u00e4rnu"", ""class_description"": ""city, village,..."", ""code"": ""PPLA"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""seat of a first-order administrative division"", ""feature_class"": ""P"", ""geonames_id"": 589580, ""lat"": ""58.38588"", ""lng"": ""24.49711"", ""ok"": true, ""population"": 44192, ""raw"": {""adminCode1"": ""11"", ""lng"": ""24.49711"", ""geonameId"": 589580, ""toponymName"": ""P\u00e4rnu"", ""countryId"": ""453733"", ""fcl"": ""P"", ""population"": 44192, ""countryCode"": ""EE"", ""name"": ""P\u00e4rnu"", ""fclName"": ""city, village,..."", ""adminCodes1"": {""ISO3166_2"": ""68""}, ""countryName"": ""Estonia"", ""fcodeName"": ""seat of a first-order administrative division"", ""adminName1"": ""P\u00e4rnumaa"", ""lat"": ""58.38588"", ""fcode"": ""PPLA""}, ""state"": ""P\u00e4rnumaa"", ""state_code"": ""11"", ""status"": ""OK""}";"1 6 24"
115293;59647878;516;"51";4;"keyword";"correct";"dead";"XJVHT538J5";"24";"3";"1";"NULL";"NULL";"1 6 24"
115294;59647879;503;"49";5;"host";"correct";"birds";"XJVHT538J5";"6394";"17";"1";"NULL";"NULL";"1 6 24"
115295;59647880;503;"47";5;"keyword";"correct";"birds";"XJVHT538J5";"13";"2";"1";"NULL";"NULL";"1 6 24"
115296;59647881;487;"45";7;"GPE";"correct";"Matsalu";"XJVHT538J5";"460280";"16";"1";"590302";"{""address"": ""Matsalu Riiklik Looduskaitseala"", ""class_description"": ""parks,area, ..."", ""code"": ""RESN"", ""country"": ""Estonia"", ""country_code"": ""EE"", ""description"": ""nature reserve"", ""feature_class"": ""L"", ""geonames_id"": 590302, ""lat"": ""58.76611"", ""lng"": ""23.72222"", ""ok"": true, ""raw"": {""adminCode1"": ""07"", ""lng"": ""23.72222"", ""geonameId"": 590302, ""toponymName"": ""Matsalu Riiklik Looduskaitseala"", ""countryId"": ""453733"", ""fcl"": ""L"", ""population"": 0, ""countryCode"": ""EE"", ""name"": ""Matsalu Riiklik Looduskaitseala"", ""fclName"": ""parks,area, ..."", ""adminCodes1"": {""ISO3166_2"": ""56""}, ""countryName"": ""Estonia"", ""fcodeName"": ""nature reserve"", ""adminName1"": ""L\u00e4\u00e4ne"", ""lat"": ""58.76611"", ""fcode"": ""RESN""}, ""state"": ""L\u00e4\u00e4ne"", ""state_code"": ""07"", ""status"": ""OK""}";"1 6 24"
115297;59647882;457;"43";3;"cases";"correct";"two";"XJVHT538J5";"NULL";"NULL";"NULL";"NULL";"NULL";"1 6 24"
